event_id,application,event_type,user_role,processing_time_ms,payload_size_kb,status,region,timestamp
5225,Jira,issue,admin,994,657,success,eu-west-1,2026-07-03 11:54:37.993176
5226,Slack,release,analyst,396,349,success,us-east-1,2026-07-11 16:13:37.993344
5227,Jira,pull_request,analyst,925,558,success,us-west-2,2026-07-07 14:12:37.993524
5228,Jira,release,developer,1711,944,success,eu-west-1,2026-07-12 01:19:37.993694
5229,ServiceNow,deployment,admin,1377,584,success,us-east-1,2026-06-19 22:53:37.993865
5230,ServiceNow,pull_request,admin,1353,338,success,eu-west-1,2026-06-17 01:03:37.994091
5231,Salesforce,deployment,developer,810,102,success,eu-west-1,2026-06-22 16:47:37.994290
5232,Salesforce,push,developer,597,889,success,eu-west-1,2026-07-09 12:05:37.994485
5233,Jira,release,developer,723,936,success,us-east-1,2026-06-11 11:15:37.994683
5234,GitHub,push,developer,1959,929,success,us-west-2,2026-06-15 14:27:37.994874
5235,Slack,pull_request,admin,152,994,success,us-east-1,2026-07-11 08:58:37.995106
5236,ServiceNow,issue,analyst,1935,9,success,eu-west-1,2026-06-27 12:53:37.995292
5237,GitHub,pull_request,admin,1893,318,success,eu-west-1,2026-06-28 08:42:37.995488
5238,Salesforce,release,admin,1347,22,success,eu-west-1,2026-06-30 19:40:37.995676
5239,Jira,pull_request,admin,980,978,success,eu-west-1,2026-06-14 15:53:37.995869
5240,ServiceNow,push,developer,1276,122,success,us-west-2,2026-07-12 06:48:37.996092
5241,ServiceNow,deployment,analyst,297,307,success,us-west-2,2026-06-17 22:43:37.996256
5242,Salesforce,deployment,developer,1092,643,success,eu-west-1,2026-06-25 16:02:37.996419
5243,ServiceNow,deployment,admin,1992,207,success,us-east-1,2026-07-10 17:43:37.996584
5244,ServiceNow,pull_request,developer,33,404,success,us-west-2,2026-06-18 05:05:37.996758
5245,Jira,pull_request,developer,956,608,success,us-west-2,2026-06-23 11:28:37.996932
5246,Slack,release,admin,344,418,success,eu-west-1,2026-07-07 03:07:37.997113
5247,Salesforce,issue,admin,1279,637,success,us-east-1,2026-06-22 11:31:37.997286
5248,ServiceNow,push,analyst,803,520,success,us-west-2,2026-06-13 04:30:37.997468
5249,Slack,release,admin,343,2,success,us-east-1,2026-06-14 09:03:37.997640
5250,ServiceNow,push,admin,1535,828,success,us-west-2,2026-07-12 09:49:37.997812
5251,GitHub,release,admin,1776,838,success,us-east-1,2026-06-27 02:52:37.998048
5252,Jira,pull_request,analyst,1262,261,success,us-east-1,2026-06-20 12:06:37.998238
5253,Salesforce,pull_request,analyst,639,270,success,us-east-1,2026-07-07 21:45:37.998431
5254,GitHub,push,developer,1309,776,success,us-east-1,2026-06-15 12:28:37.998623
5255,Jira,release,developer,1140,933,success,us-east-1,2026-06-26 21:40:37.998820
5256,GitHub,release,analyst,1752,902,success,us-east-1,2026-06-21 12:01:37.999056
5257,Slack,pull_request,developer,520,293,success,us-east-1,2026-07-04 22:28:37.999257
5258,Salesforce,deployment,developer,1092,837,success,eu-west-1,2026-06-21 23:51:37.999451
5259,Jira,pull_request,developer,251,216,success,us-west-2,2026-06-14 03:56:37.999647
5260,Slack,deployment,developer,1072,223,success,eu-west-1,2026-07-13 08:19:37.999843
5261,Jira,release,analyst,393,638,success,us-west-2,2026-06-15 05:15:38.000070
5262,Jira,pull_request,developer,138,776,success,us-west-2,2026-06-19 15:28:38.000247
5263,Slack,push,analyst,1152,218,success,us-west-2,2026-06-25 17:23:38.000417
5264,GitHub,pull_request,analyst,753,881,success,us-east-1,2026-06-24 07:29:38.000579
5265,GitHub,push,analyst,1320,976,success,us-east-1,2026-06-26 20:44:38.000737
5266,Slack,release,admin,1019,704,success,us-east-1,2026-07-10 03:40:38.000891
5267,GitHub,deployment,developer,1790,589,success,eu-west-1,2026-06-27 14:25:38.001098
5268,Slack,deployment,admin,503,644,success,us-west-2,2026-06-20 09:07:38.001262
5269,Slack,deployment,developer,1312,851,success,us-east-1,2026-07-14 15:41:38.001447
5270,GitHub,deployment,analyst,1098,76,success,eu-west-1,2026-07-09 06:40:38.001627
5271,Salesforce,release,developer,1506,417,success,us-east-1,2026-06-24 01:38:38.001787
5272,Jira,pull_request,analyst,876,968,success,us-west-2,2026-06-27 20:51:38.001957
5273,GitHub,issue,developer,1827,328,success,us-west-2,2026-06-27 04:25:38.002149
5274,ServiceNow,deployment,admin,674,12,success,us-east-1,2026-06-26 10:30:38.002339
5275,Jira,release,analyst,52,944,success,us-west-2,2026-06-26 20:41:38.002531
5276,Salesforce,issue,developer,30,407,success,eu-west-1,2026-06-26 07:44:38.002724
5277,Jira,push,analyst,60,783,success,us-east-1,2026-06-19 10:58:38.002932
5278,Slack,deployment,developer,1597,494,success,eu-west-1,2026-07-06 06:01:38.003157
5279,Salesforce,pull_request,admin,1691,2,success,us-west-2,2026-07-01 03:19:38.003346
5280,Salesforce,release,admin,1072,909,success,eu-west-1,2026-07-02 14:05:38.003537
5281,GitHub,pull_request,developer,307,952,failed,us-west-2,2026-06-21 14:22:38.003729
5282,GitHub,release,developer,1395,559,failed,eu-west-1,2026-06-29 03:59:38.003936
5283,ServiceNow,release,developer,1059,521,success,us-west-2,2026-06-18 20:28:38.004141
5284,ServiceNow,pull_request,developer,1187,859,success,us-west-2,2026-06-18 02:53:38.004349
5285,Salesforce,release,analyst,1235,857,success,us-west-2,2026-07-13 11:48:38.004534
5286,Slack,deployment,analyst,1594,483,success,us-east-1,2026-07-03 18:54:38.004701
5287,ServiceNow,push,admin,1465,805,success,eu-west-1,2026-06-29 03:17:38.004886
5288,Salesforce,pull_request,developer,599,77,success,us-west-2,2026-06-30 17:48:38.005097
5289,Slack,issue,analyst,1630,658,success,us-west-2,2026-06-29 12:24:38.005253
5290,GitHub,push,analyst,1008,280,success,eu-west-1,2026-06-18 21:21:38.005412
5291,Slack,pull_request,analyst,630,36,success,us-east-1,2026-07-10 03:45:38.005572
5292,Salesforce,push,developer,1924,70,success,us-east-1,2026-07-10 22:44:38.005743
5293,Jira,pull_request,developer,437,539,success,us-west-2,2026-06-21 15:25:38.005928
5294,Slack,issue,admin,1845,381,success,us-west-2,2026-06-22 23:27:38.006127
5295,Slack,release,admin,623,209,failed,eu-west-1,2026-06-13 01:11:38.006315
5296,Jira,release,admin,1581,453,success,eu-west-1,2026-07-13 06:14:38.006504
5297,GitHub,pull_request,admin,679,633,success,us-east-1,2026-06-13 07:49:38.006691
5298,Jira,release,analyst,1689,542,success,eu-west-1,2026-06-12 02:37:38.006884
5299,ServiceNow,release,developer,1666,286,success,us-west-2,2026-06-27 07:26:38.007129
5300,GitHub,deployment,admin,1533,738,success,us-east-1,2026-07-11 14:06:38.007314
5301,Slack,deployment,admin,370,341,success,us-east-1,2026-07-02 11:48:38.007504
5302,Salesforce,issue,admin,1440,666,success,eu-west-1,2026-06-28 08:31:38.007694
5303,Salesforce,issue,analyst,351,316,success,us-west-2,2026-06-19 23:53:38.007881
5304,GitHub,pull_request,admin,603,429,success,us-west-2,2026-07-10 07:19:38.008115
5305,Salesforce,release,admin,82,399,success,us-west-2,2026-07-01 06:59:38.008308
5306,Salesforce,pull_request,admin,1821,978,success,us-east-1,2026-07-09 08:44:38.008504
5307,ServiceNow,push,analyst,1815,833,success,us-west-2,2026-07-09 17:59:38.008690
5308,ServiceNow,release,analyst,492,937,success,us-east-1,2026-06-12 02:24:38.008884
5309,Slack,deployment,admin,973,537,success,us-east-1,2026-06-29 05:45:38.009143
5310,Jira,deployment,analyst,855,532,success,eu-west-1,2026-07-06 19:11:38.009340
5311,ServiceNow,issue,admin,1163,60,success,eu-west-1,2026-06-17 21:06:38.009534
5312,ServiceNow,issue,admin,787,345,success,eu-west-1,2026-06-10 23:47:38.009732
5313,ServiceNow,push,analyst,92,905,success,us-east-1,2026-06-25 13:27:38.009937
5314,Salesforce,release,developer,1293,772,failed,us-east-1,2026-06-15 16:00:38.010157
5315,Jira,release,developer,829,420,success,eu-west-1,2026-07-04 21:26:38.010346
5316,ServiceNow,release,analyst,1607,768,success,eu-west-1,2026-06-24 03:54:38.010530
5317,Jira,deployment,developer,607,645,success,us-west-2,2026-06-28 17:46:38.010722
